GROUPAMA ENTREPRISES R;DEU FLOATING RATE NOTES-TFC;PICTET USD SHORT MID TERM;FON/03/CH;ROBECO GLO CR SHT MAT-IH EUR;/03/ch Green Transition Bond;Robeco Climate Bond;JUPITER DYNAMIC BOND;/03/CH INTL-FAMILY BUSINESS;AMU CPR BANCA /03/CH IMP-REUR;Harrris Associates Global Equity;POLEN FOCUS US GROWTH-EUR IN;ROBECO BP US PREMIUM EQ/F;ELEVA EUROPEAN SELECTION;ROBECO SUS EUR STARS EQ-FEUR;ABERDEEN ASIA PAC EQUITY;GQG PARTNERS EM MKT EQ-I EUR;Fidelity Global Financials;M&G LUX GLOBAL LIST INF-ECIA;/03/CH NEXT G/01/RATION;NEUBERGER BERMAN UNCORRELATED STRATEGIES;DNCA INVEST ALPHA BONDS;/03/ch Alternative Strategies
495,88;99,46;119,81;10,1;104,38;10;97,08;13,61;11,69;114,52;130,64;19,65;301,48;161,83;173,79;18,2;14,02;;14,327;13,14;9,79;104,06;9,999
495,93;99,46;120,03;10,11;104,24;10;97,47;13,62;11,67;114,5;127,82;19,26;295,42;162,04;174,59;17,8;13,85;;14,244;13,06;9,76;103,99;10
495,97;99,46;120,03;10,11;104,22;10;97,57;13,58;11,71;114,52;129,47;19,47;298,07;162,33;173,48;17,82;13,87;;14,232;13,12;9,86;103,62;10
496,02;99,46;120,03;10,12;104,19;10;97,41;13,55;11,63;114,61;128,67;19,01;295,35;161,04;172,57;17,78;14,05;;14,277;12,98;9,92;103,68;10
496,04;99,45;120,03;10,11;104,05;10;97,28;13,48;11,53;115,09;128,72;18,42;297,78;159,4;171,02;17,66;14,18;;14,216;12,88;9,96;103,51;10
496,11;99,46;120,03;10,11;104,08;10;97,44;13,53;11,19;111,79;127,13;17,68;291,55;155,82;167,62;17,16;13,77;;13,856;12,39;9,89;103,75;10
496,16;99,46;120,03;10,1;104,07;10;96,82;13,46;11,33;112,35;128,23;17,79;291,36;158,59;168,72;17,72;14,04;;13,811;12,64;9,93;103,02;10
496,2;99,47;120,03;10,1;104;10;97,46;13,55;11,32;113,11;126,93;18,16;289,64;157,75;168,33;17,74;14,24;;13,61;12,69;9,87;103,38;10
496,24;99,49;120,03;10,1;104,11;10;97,38;13,52;11,06;108,06;122,49;17,36;273,95;154,59;163,35;17,86;14,16;;13,152;12,28;9,86;102,78;10
496,29;99,5;120,03;10,09;104,08;10;97,16;13,52;10,99;109,89;119,89;17,89;270,68;154,59;162,91;18,43;14,39;;13,36;12,69;9,89;102,57;10
496,34;99,5;120,03;10,11;104,47;10;98,11;13,67;10,98;113,5;120,06;18,73;270,59;154,06;163,12;19,08;15,16;;13,414;13,13;9,94;104;10
496,37;99,5;120,03;10,13;104,59;10;98,8;13,74;11,07;115;119,57;18,72;269,54;153,04;162,23;19,09;15,16;;13,389;13,21;9,91;104,53;10
496,41;99,48;120,03;10,12;104,52;10;98,86;13,71;11,02;114,36;119,59;18,38;269,12;152,49;163,16;18,51;14,77;;13,442;12,98;9,89;104,71;10
496,45;99,46;120,03;10,1;104,45;10;99,22;13,73;10,78;110,74;113,33;17,64;260,01;149,15;161,9;17,93;14,14;;13,066;12,63;9,69;104,28;10
496,5;99,47;120,03;10,1;104,51;10;99,24;13,76;10,88;114,16;117,22;17,94;268,24;152,94;164,18;18,76;14,81;;13,446;12,95;9,96;104,58;10
496,54;99,44;120,03;10,1;104,45;10;99,41;13,72;10,9;112,94;116,34;17,38;270,46;153,12;164,63;18,12;14,42;;13,386;12,78;9,96;103,92;10
496,58;99,44;120,03;10,11;104,52;10;99,53;13,74;10,79;109,55;113,82;17,85;265,75;151,7;162,43;17,69;13,98;;13,214;12,55;10,03;103,9;10
496,6;99,42;120,03;10,1;104,57;10;99,97;13,76;10,71;104,57;110,47;17,86;254,39;147,48;160,07;17,27;13,63;;13,054;12,26;10,01;103,57;10
496,65;99,42;120,03;10,09;104,56;10;99,91;13,75;10,64;104,75;110,4;17,66;252,17;147,78;159,57;16,76;13,39;;12,995;12,22;9,98;103,63;10
496,7;99,42;120,03;10,1;104,48;10;99,92;13,76;10,62;102,64;109,35;17,69;251,31;146,93;160,17;16,81;13,49;;13,103;12,11;9,98;103,09;10
496,73;99,42;120,03;10,1;104,45;10;100,06;13,76;10,53;100,56;108,8;17,27;252,99;144,44;158,65;16,46;13,34;;13,149;11,86;9,89;102,58;10
